Project,Study Area,Transect,Point,Protocol,Visit,Date,Start Time,End Time,Observ Time,Time Bin ID,Time Bin,Count,Spp,Common Name,Scientific Name,Detection Cue,DistanceBin,DetectionLocationNm
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,1,6/10/19,7:30:00,7:40:00,7:37:00,8,8,1,CBCH,Chestnut-backed Chickadee,Poecile rufescens,V,10,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:23:00,1,1,1,WAVI,Warbling Vireo,Vireo gilvus,S,30,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:23:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,25,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:23:00,1,1,1,WETA,Western Tanager,Piranga ludoviciana,S,40,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:23:00,1,1,1,WETA,Western Tanager,Piranga ludoviciana,S,90,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:23:00,1,1,1,STJA,Steller's Jay,Cyanocitta stelleri,C,70,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:23:00,1,1,1,ACWO,Acorn Woodpecker,Melanerpes formicivorus,C,80,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:23:00,1,1,1,CBCH,Chestnut-backed Chickadee,Poecile rufescens,C,70,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:24:00,2,2,1,SPTO,Spotted Towhee,Pipilo maculatus,C,40,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:24:00,2,2,1,LAZB,Lazuli Bunting,Passerina amoena,S,150,O
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:26:00,4,4,1,WREN,Wrentit,Chamaea fasciata,S,190,O
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:27:00,5,5,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,55,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:28:00,6,6,1,NAWA,Nashville Warbler,Oreothlypis ruficapilla,S,70,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:28:00,6,6,1,WETA,Western Tanager,Piranga ludoviciana,S,65,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:28:00,6,6,1,AMRO,American Robin,Turdus migratorius,C,85,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:29:00,7,7,1,SPTO,Spotted Towhee,Pipilo maculatus,S,60,
CHRISADLAM,MULT,P203,203,KBO_VRPC_4,2,6/12/19,7:23:00,7:33:00,7:32:00,10,10,1,PUFI,Purple Finch,Haemorhous purpureus,S,75,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:07:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,V,35,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:07:00,1,1,1,HAWO,Hairy Woodpecker,Picoides villosus,C,55,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:07:00,1,1,1,LAZB,Lazuli Bunting,Passerina amoena,S,40,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:07:00,1,1,1,WETA,Western Tanager,Piranga ludoviciana,C,70,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:08:00,2,2,1,HUVI,Hutton's Vireo,Vireo huttoni,S,55,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:08:00,2,2,1,PUFI,Purple Finch,Haemorhous purpureus,S,70,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:09:00,3,3,1,WAVI,Warbling Vireo,Vireo gilvus,S,95,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:10:00,4,4,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,95,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:12:00,6,6,1,CAVI,Cassin's Vireo,Vireo cassinii,S,70,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:13:00,7,7,1,SPTO,Spotted Towhee,Pipilo maculatus,S,110,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:14:00,8,8,1,CASJ,California Scrub-Jay,Aphelocoma californica,V,30,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,1,6/10/19,9:07:00,9:17:00,9:15:00,9,9,1,HAWO,Hairy Woodpecker,Picoides villosus,C,150,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:04:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,40,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:04:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,80,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:04:00,1,1,1,WETA,Western Tanager,Piranga ludoviciana,S,160,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:04:00,1,1,1,LAZB,Lazuli Bunting,Passerina amoena,S,80,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:04:00,1,1,1,CAVI,Cassin's Vireo,Vireo cassinii,S,80,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:04:00,1,1,1,SPTO,Spotted Towhee,Pipilo maculatus,S,80,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:07:00,4,4,1,RBNU,Red-breasted Nuthatch,Sitta canadensis,S,140,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:07:00,4,4,1,HAWO,Hairy Woodpecker,Picoides villosus,C,130,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:08:00,5,5,1,WAVI,Warbling Vireo,Vireo gilvus,S,90,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:10:00,7,7,1,YBCH,Yellow-breasted Chat,Icteria virens,S,75,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:11:00,8,8,1,ACWO,Acorn Woodpecker,Melanerpes formicivorus,C,150,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:11:00,8,8,1,BUSH,Bushtit,Psaltriparus minimus,C,45,
CHRISADLAM,MULT,P204,204,KBO_VRPC_4,2,6/12/19,6:04:00,6:14:00,6:04:00,1,1,1,WETA,Western Tanager,Piranga ludoviciana,S,110,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:00:00,1,1,1,HAWO,Hairy Woodpecker,Picoides villosus,S,35,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:00:00,1,1,2,HAWO,Hairy Woodpecker,Picoides villosus,V,35,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:00:00,1,1,1,WETA,Western Tanager,Piranga ludoviciana,S,55,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:00:00,1,1,1,SPTO,Spotted Towhee,Pipilo maculatus,S,45,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:00:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,25,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:00:00,1,1,1,RBNU,Red-breasted Nuthatch,Sitta canadensis,S,65,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:00:00,1,1,1,MOUQ,Mountain Quail,Oreortyx pictus,S,120,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:00:00,1,1,1,WBNU,White-breasted Nuthatch,Sitta carolinensis,V,30,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:00:00,1,1,1,WEWP,Western Wood-Pewee,Contopus sordidulus,S,45,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:02:00,3,3,1,STJA,Steller's Jay,Cyanocitta stelleri,C,150,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:02:00,3,3,1,WEWP,Western Wood-Pewee,Contopus sordidulus,S,60,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:04:00,5,5,1,LAZB,Lazuli Bunting,Passerina amoena,S,70,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:06:00,7,7,1,HEWA,Hermit Warbler,Setophaga occidentalis,S,70,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:06:00,7,7,1,CAVI,Cassin's Vireo,Vireo cassinii,S,75,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:07:00,8,8,1,NAWA,Nashville Warbler,Oreothlypis ruficapilla,S,55,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:08:00,9,9,1,NOFL,Northern Flicker,Colaptes auratus,V,35,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,1,6/11/19,6:00:00,6:10:00,6:08:00,9,9,2,ACWO,Acorn Woodpecker,Melanerpes formicivorus,C,80,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:48:00,1,1,1,ACWO,Acorn Woodpecker,Melanerpes formicivorus,C,200,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:48:00,1,1,1,NAWA,Nashville Warbler,Oreothlypis ruficapilla,S,30,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:48:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,150,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:48:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,S,140,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:48:00,1,1,1,BHGR,Black-headed Grosbeak,Pheucticus melanocephalus,S,90,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:48:00,1,1,1,STJA,Steller's Jay,Cyanocitta stelleri,C,85,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:48:00,1,1,1,BRCR,Brown Creeper,Certhia americana,S,140,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:48:00,1,1,1,WEWP,Western Wood-Pewee,Contopus sordidulus,S,180,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:50:00,3,3,1,HAWO,Hairy Woodpecker,Picoides villosus,C,45,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:50:00,3,3,1,LAZB,Lazuli Bunting,Passerina amoena,S,70,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:50:00,3,3,1,MOUQ,Mountain Quail,Oreortyx pictus,C,180,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:51:00,4,4,1,WETA,Western Tanager,Piranga ludoviciana,S,90,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:51:00,4,4,1,WETA,Western Tanager,Piranga ludoviciana,S,210,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:51:00,4,4,1,SPTO,Spotted Towhee,Pipilo maculatus,S,30,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:51:00,4,4,1,NAWA,Nashville Warbler,Oreothlypis ruficapilla,V,20,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:53:00,6,6,1,SPTO,Spotted Towhee,Pipilo maculatus,V,62,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:55:00,8,8,1,RBNU,Red-breasted Nuthatch,Sitta canadensis,C,55,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:55:00,8,8,1,PIWO,Pileated Woodpecker,Dryocopus pileatus,V,68,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:55:00,8,8,1,WEWP,Western Wood-Pewee,Contopus sordidulus,V,53,
CHRISADLAM,MULT,P205,205,KBO_VRPC_4,2,6/13/19,9:48:00,9:58:00,9:48:00,1,1,1,BTYW,Black-throated Gray Warbler,Setophaga nigrescens,V,20,
CHRISADLAM,MULT,P206,206,KBO_VRPC_4,1,6/11/19,6:28:00,6:38:00,6:28:00,1,1,1,MGWA,MacGillivray's Warbler,Geothlypis tolmiei,S,70,
CHRISADLAM,MULT,P206,206,KBO_VRPC_4,1,6/11/19,6:28:00,6:38:00,6:28:00,1,1,1,STJA,Steller's Jay,Cyanocitta stelleri,C,110,
CHRISADLAM,MULT,P206,206,KBO_VRPC_4,1,6/11/19,6:28:00,6:38:00,6:28:00,1,1,1,WEWP,Western Wood-Pewee,Contopus sordidulus,S,75,
CHRISADLAM,MULT,P206,206,KBO_VRPC_4,1,6/11/19,6:28:00,6:38:00,6:28:00,1,1,1,PSFL,Pacific-slope Flycatcher,Empidonax difficilis,S,120,
CHRISADLAM,MULT,P206,206,KBO_VRPC_4,1,6/11/19,6:28:00,6:38:00,6:28:00,1,1,1,CAVI,Cassin's Vireo,Vireo cassinii,S,65,A
CHRISADLAM,MULT,P206,206,KBO_VRPC_4,1,6/11/19,6:28:00,6:38:00,6:28:00,1,1,1,ACWO,Acorn Woodpecker,Melanerpes formicivorus,C,90,
CHRISADLAM,MULT,P206,206,KBO_VRPC_4,1,6/11/19,6:28:00,6:38:00,6:28:00,1,1,1,LAZB,Lazuli Bunting,Passerina amoena,S,60,
CHRISADLAM,MULT,P206,206,KBO_VRPC_4,1,6/11/19,6:28:00,6:38:00,6:28:00,1,1,1,SPTO,Spotted Towhee,Pipilo maculatus,S,65,
CHRISADLAM,MULT,P206,206,KBO_VRPC_4,1,6/11/19,6:28:00,6:38:00,6:28:00,1,1,1,WREN,Wrentit,Chamaea fasciata,S,90,
CHRISADLAM,MULT,P206,206,KBO_VRPC_4,1,6/11/19,6:28:00,6:38:00,6:28:00,1,1,1,BRCR,Brown Creeper,Certhia americana,S,45,
