"","site_id","full_name","species","cover"
"86",28,"Arbutus menziesii","ARME",25
"87",28,"Asarum hartweggii","ASHA",0.5
"88",28,"Ceanothus integerrimus","CEIN",5
"89",28,"Collomia heterophylla","COHE",0.5
"90",28,"Cornus nuttallii","CONU",0
"91",28,"Daucus pusillus","DAPU",0.5
"92",28,"Eriophyllum lanatum","ERLA",0.5
"93",28,"Gallium bolanderi","GABO",0.5
"94",28,"Heteromeles arbutifolia","HEAR",1
"95",28,"Iris tenuissima","IRTE",0.5
"96",28,"Lonicera hispidula","LOHI",1
"97",28,"Melica californica","MECA",20
"98",28,"Notholithocarpus densifolius","NODE",0
"99",28,"Pinus ponderosa","PIPO",0
"100",28,"Polygala cornuta","POCO",0.5
"101",28,"Pseudotsuga menziesii","PSME",0
"102",28,"Pteridium aquilinum","PTAQ",5
"103",28,"Quercus chrysolepis","QUCH",20
"104",28,"Quercus kelloggii","QUKE",5
"105",28,"Ribes roezlii","RIRO",1
"106",28,"Solanum parishii","SOPA",0.5
"107",28,"Toxicodendron diversilobum","TODI",30
"108",34,"Acer macrophyllum","ACMA",1
"109",34,"Apocynum angustifolium","APAN",1
"110",34,"Arbutus menziesii","ARME",5
"111",34,"Carex sp.","CAREX",0.5
"112",34,"Ceanothus integerrimus","CEIN",45
"113",34,"Corylus cornuta","COCO",2
"114",34,"Dichelostemma ida-maia","DIID",0.5
"115",34,"Elymus glaucus","ELGL",1
"116",34,"Festuca microstachys","FEMI",2
"117",34,"Gallium bolanderi","GABO",0.5
"118",34,"Hieracium albiflorum","HIAL",0.5
"119",34,"Ligusticum californicum","LICA",0.5
"120",34,"Lonicera hispidula","LOHI",4
"121",34,"Madia gracilis","MAGR",6
"122",34,"Melica californica","MECA",1
"123",34,"Polygala cornuta","POCO",0.5
"124",34,"Polystichum imbricans","POIM",0.5
"125",34,"Pseudotsuga menziesii","PSME",15
"126",34,"Quercus chrysolepis","QUCH",3
"127",34,"Quercus garryana","QUGA",0.5
"128",34,"Quercus kelloggii","QUKE",18
"129",34,"Rubus leucodermis","RULE",3
"130",34,"Sanicula crassicaulis","SACR",0.5
"131",34,"Symphoricarpos albus","SYAL",1
"132",34,"Toxicodendron diversilobum","TODI",15
"133",34,"Trientalis latiolia","TRLA",1
"134",40,"Apocynum angustifolium","APAN",1
"135",40,"Arbutus menziesii","ARME",5
"136",40,"Arnica sp.","ARXX",1
"137",40,"Calocedrus decurrens","CADE",0.5
"138",40,"Carex sp.","CAREX",0.5
"139",40,"Campanula scouleri","CASC",0.5
"140",40,"Ceanothus integerrimus","CEIN",70
"141",40,"Collomia heterophylla","COHE",0.5
"142",40,"Elymus glaucus","ELGL",0.5
"143",40,"Festuca occidentalis","FEOC",0.5
"144",40,"Fragaria vesca","FRVE",1
"145",40,"Iris tenuissima","IRTE",0.5
"146",40,"Lonicera hispidula","LOHI",1
"147",40,"Mahonia aquifolium","MAAQ",1
"148",40,"Notholithocarpus densifolius","NODE",40
"149",40,"Prosartes hookeri","PRHO",0.5
"150",40,"Pseudotsuga menziesii","PSME",7
"151",40,"Quercus chrysolepis","QUCH",0.5
"152",40,"Quercus garryana","QUGA",1
"153",40,"Quercus kelloggii","QUKE",25
"154",40,"Rubus parviflorus","RUPA",0.5
"155",40,"Rubus ursinus","RUUR",0.5
"156",40,"Symphoricarpos mollis","SYMO",5
"157",40,"Toxicodendron diversilobum","TODI",4
"158",40,"Vicia americana","VIAM",2
"159",40,"Whipplea modesta","WHMO",10
"160",41,"Abies concolor","ABCO",1
"161",41,"Acer macrophyllum","ACMA",10
"162",41,"Achlys triphylla","ACTR",0.5
"163",41,"Adenocaulon bicolor","ADBI",0.5
"164",41,"Arbutus menziesii","ARME",15
"165",41,"Corylus cornuta","COCO",1
"166",41,"Cornus nuttallii","CONU",0.5
"167",41,"Goodyera oblongifolia","GOOB",1
"168",41,"Iris tenuissima","IRTE",0.5
"169",41,"Lonicera hispidula","LOHI",0.5
"170",41,"Mahonia aquifolium","MAAQ",0.5
"171",41,"Maianthemum racemosum","MARA",0.5
"172",41,"Notholithocarpus densifolius","NODE",2
"173",41,"Prosartes hookeri","PRHO",0.5
"174",41,"Pseudotsuga menziesii","PSME",85
"175",41,"Pyrolla aphylla","PYAP",0.5
"176",41,"Quercus chrysolepis","QUCH",8
"177",41,"Quercus kelloggii","QUKE",0.5
"178",41,"Ribes sanguineum","RISA",0.5
"179",41,"Rosa gymnocarpa","ROGY",1
"180",41,"Symphoricarpos mollis","SYMO",1
"181",41,"Toxicodendron diversilobum","TODI",1
"182",47,"Amelanchier alnifolia","AMAL",1
"183",47,"Anisocarpus madioides","ANMAD",0.5
"184",47,"Apocynum angustifolium","APAN",0.5
"185",47,"Arctostaphylos canescens","ARCA",1
"186",47,"Arbutus menziesii","ARME",20
"187",47,"Calocedrus decurrens","CADE",0.5
"188",47,"Ceanothus integerrimus","CEIN",40
"189",47,"Elymus glaucus","ELGL",0.5
"190",47,"Hossackia crassicaulis","HOCR",1
"191",47,"Holodiscus discolor","HODI",1
"192",47,"Notholithocarpus densifolius","NODE",3
"193",47,"Pinus lambertiana","PILA",0.5
"194",47,"Pinus ponderosa","PIPO",0.5
"195",47,"Potentilla glandulosa","POGL",1
"196",47,"Pseudotsuga menziesii","PSME",10
"197",47,"Pteridium aquilinum","PTAQ",0.5
"198",47,"Quercus chrysolepis","QUCH",3
"199",47,"Quercus kelloggii","QUKE",10
"200",47,"Rhamnus purshiana","RHPU",0.5
"201",47,"Ribes roezlii","RIRO",0.5
"202",47,"Rosa gymnocarpa","ROGY",0.5
"203",47,"Rubus leucodermis","RULE",2
"204",47,"Rubus parviflorus","RUPA",1
"205",47,"Rubus ursinus","RUUR",1
"206",47,"Satureja douglasii","SADO",1
"207",47,"Salix scouleriana","SASC",40
"208",47,"Sidalcea sp.","SI",0.5
"209",47,"Toxicodendron diversilobum","TODI",5
"210",47,"Trientalis latiolia","TRLA",2
"211",47,"Vicia americana","VIAM",0.5
"212",47,"Whipplea modesta","WHMO",65
"213",49,"Acer macrophyllum","ACMA",0
"214",49,"Achlys triphylla","ACTR",1
"215",49,"Arnica discoidea","ARDI",0.5
"216",49,"Arbutus menziesii","ARME",15
"217",49,"Chrysolepis chrysophylla","CHCH",1
"218",49,"Corylus cornuta","COCO",0.5
"219",49,"Festuca occidentalis","FEOC",0.5
"220",49,"Iris tenuissima","IRTE",0.5
"221",49,"Lonicera hispidula","LOHI",0.5
"222",49,"Notholithocarpus densifolius","NODE",30
"223",49,"Polystichum imbricans","POIM",1
"224",49,"Prosartes hookeri","PRHO",0.5
"225",49,"Pseudotsuga menziesii","PSME",50
"226",49,"Pteridium aquilinum","PTAQ",0.5
"227",49,"Pyrola picta","PYPI",0.5
"228",49,"Quercus chrysolepis","QUCH",10
"229",49,"Quercus kelloggii","QUKE",0
"230",49,"Ribes roezlii","RIRO",0.5
"231",49,"Rosa gymnocarpa","ROGY",5
"232",49,"Rubus leucodermis","RULE",0.5
"233",49,"Symphoricarpos mollis","SYMO",1
"234",49,"Toxicodendron diversilobum","TODI",15
"235",49,"Trientalis latiolia","TRLA",1
"236",51,"Acer macrophyllum","ACMA",20
"237",51,"Arbutus menziesii","ARME",3
"238",51,"Calystegia occidentalis","CAOC",5
"239",51,"Campanula scouleri","CASC",0.5
"240",51,"Ceanothus integerrimus","CEIN",10
"241",51,"Chamerion angustifolium","CHAN",0.5
"242",51,"Corylus cornuta","COCO",3
"243",51,"Collomia heterophylla","COHE",0.5
"244",51,"Gilia capitata","GICA",0.5
"245",51,"Hossackia crassicaulis","HOCR",1
"246",51,"Madia gracilis","MAGR",3
"247",51,"Melica californica","MECA",25
"248",51,"Notholithocarpus densifolius","NODE",1
"249",51,"Quercus chrysolepis","QUCH",2
"250",51,"Quercus kelloggii","QUKE",10
"251",51,"Ribes roezlii","RIRO",5
"252",51,"Rubus leucodermis","RULE",20
"253",51,"Solanum parishii","SOPA",1
"254",51,"Toxicodendron diversilobum","TODI",10
"255",51,"Trientalis latiolia","TRLA",4
"256",51,"Vicia americana","VIAM",5
"257",52,"Arctostaphylos canescens","ARCA",1
"258",52,"Arnica discoidea","ARDI",1
"259",52,"Arbutus menziesii","ARME",5
"260",52,"Carex multicaulis","CAMU",0.5
"261",52,"Carex sp.","CAREX",0.5
"262",52,"Campanula scouleri","CASC",0.5
"263",52,"Ceanothus integerrimus","CEIN",65
"264",52,"Clarkia purpurea","CLPU",0.5
"265",52,"Collomia heterophylla","COHE",0.5
"266",52,"Elymus glaucus","ELGL",0.5
"267",52,"Festuca occidentalis","FEOC",20
"268",52,"Heuchera sp.","HEXX",0.5
"269",52,"Hieracium albiflorum","HIAL",0.5
"270",52,"Lonicera hispidula","LOHI",0.5
"271",52,"Melica californica","MECA",0.5
"272",52,"Notholithocarpus densifolius","NODE",15
"273",52,"Polystichum imbricans","POIM",0.5
"274",52,"Pseudotsuga menziesii","PSME",1
"275",52,"Pteridium aquilinum","PTAQ",0.5
"276",52,"Quercus chrysolepis","QUCH",1
"277",52,"Quercus kelloggii","QUKE",10
"278",52,"Ribes roezlii","RIRO",1
"279",52,"Ribes sanguineum","RISA",0.5
"280",52,"Symphoricarpos mollis","SYMO",0.5
"281",52,"Toxicodendron diversilobum","TODI",5
"282",53,"Acer macrophyllum","ACMA",10
"283",53,"Achlys triphylla","ACTR",0.5
"284",53,"Arbutus menziesii","ARME",1
"285",53,"Asarum hartweggii","ASHA",0.5
"286",53,"Carex multicaulis","CAMU",0.5
"287",53,"Ceanothus integerrimus","CEIN",0.5
"288",53,"Festuca occidentalis","FEOC",0.5
"289",53,"Gallium triflorum","GATR",0.5
"290",53,"Heuchera sp.","HEXX",0.5
"291",53,"Mahonia nervosa","MANE",30
"292",53,"Notholithocarpus densifolius","NODE",15
"293",53,"Polystichum imbricans","POIM",1
"294",53,"Prosartes hookeri","PRHO",0.5
"295",53,"Pseudotsuga menziesii","PSME",30
"296",53,"Pteridium aquilinum","PTAQ",0.5
"297",53,"Ribes sanguineum","RISA",0.5
"298",53,"Rosa gymnocarpa","ROGY",0.5
"299",53,"Rubus leucodermis","RULE",0.5
"300",53,"Rubus parviflorus","RUPA",0.5
"301",53,"Toxicodendron diversilobum","TODI",10
"302",53,"Trientalis latiolia","TRLA",1
