site_id,full_name,species,cover
51,Trientalis latiolia,TRLA,4
51,Vicia americana,VIAM,5
52,Arctostaphylos canescens,ARCA,1
52,Arnica discoidea,ARDI,1
52,Arbutus menziesii,ARME,5
52,Carex multicaulis,CAMU,0.5
52,Carex sp.,CAREX,0.5
52,Campanula scouleri,CASC,0.5
52,Ceanothus integerrimus,CEIN,65
52,Clarkia purpurea,CLPU,0.5
52,Collomia heterophylla,COHE,0.5
52,Elymus glaucus,ELGL,0.5
52,Festuca occidentalis,FEOC,20
52,Heuchera sp.,HEXX,0.5
52,Hieracium albiflorum,HIAL,0.5
52,Lonicera hispidula,LOHI,0.5
52,Melica californica,MECA,0.5
52,Notholithocarpus densifolius,NODE,15
52,Polystichum imbricans,POIM,0.5
52,Pseudotsuga menziesii,PSME,1
52,Pteridium aquilinum,PTAQ,0.5
52,Quercus chrysolepis,QUCH,1
52,Quercus kelloggii,QUKE,10
52,Ribes roezlii,RIRO,1
52,Ribes sanguineum,RISA,0.5
52,Symphoricarpos mollis,SYMO,0.5
52,Toxicodendron diversilobum,TODI,5
53,Acer macrophyllum,ACMA,10
53,Achlys triphylla,ACTR,0.5
53,Arbutus menziesii,ARME,1
53,Asarum hartweggii,ASHA,0.5
53,Carex multicaulis,CAMU,0.5
53,Ceanothus integerrimus,CEIN,0.5
53,Festuca occidentalis,FEOC,0.5
53,Gallium triflorum,GATR,0.5
53,Heuchera sp.,HEXX,0.5
53,Mahonia nervosa,MANE,30
53,Notholithocarpus densifolius,NODE,15
53,Polystichum imbricans,POIM,1
53,Prosartes hookeri,PRHO,0.5
53,Pseudotsuga menziesii,PSME,30
53,Pteridium aquilinum,PTAQ,0.5
53,Ribes sanguineum,RISA,0.5
53,Rosa gymnocarpa,ROGY,0.5
53,Rubus leucodermis,RULE,0.5
53,Rubus parviflorus,RUPA,0.5
53,Toxicodendron diversilobum,TODI,10
53,Trientalis latiolia,TRLA,1
