,species,NMDS1,NMDS2,r,pval,sum,best model,other,,,notes
65,VAHE,0.999556839,-0.029767858,0.010572658,0.7908,5,,,,,
67,VILO,-0.995782876,-0.091741293,0.118242648,0.0585,5,,,,,
,,,,,,,,,,,
63,TODI,0.993292506,-0.115628705,0.007527817,0.8444,43,null,,,,
20,COHE,0.386219872,0.922406749,0.007514504,0.8429,13,null,,,,
40,PILA,-0.955929246,-0.293597132,0.012752462,0.7479,12,null,,,,
26,FEOC,0.563681415,-0.82599229,0.018015984,0.6546,17,null,,,,
51,QUKE,0.512141744,0.858900946,0.053781565,0.2911,32,null,,,,
29,GATR,0.213534663,0.976935488,0.055312516,0.2695,10,sev,add,,,
19,COCO,-0.208488497,0.978024819,0.062841262,0.2327,19,null,,,,
8,ARDI,-0.960857508,0.277043045,0.074136244,0.1748,10,null,,,,
6,ANMAD,0.417334982,-0.908752724,0.079074702,0.1545,17,sev,add,,,
9,ARME,-0.975103504,0.221750212,0.093791947,0.1133,45,,,,,not working
49,QUCH,0.996368992,0.08514007,0.092806671,0.1097,40,tsf,add/null,,,
7,APAN,0.617373349,0.786670292,0.100435609,0.097,12,null,,,,
31,IRTE,-0.854154526,-0.520019275,0.10851181,0.0796,20,mult,sev/null,,,
